;xcfd_grid;ycfd_grid;u_f;v_f;U_mag;flow_angle
0;-4.5775;0.12243;0.40833;0.00011119;0.4083300151387553;0.015601884668277
1;-4.5289;0.12177;0.40802;0.00040137;0.4080201974141438;0.05636194207490552
2;-4.5781;0.17088;0.40882;0.00019592;0.4088200469456536;0.027458021287722196
3;-4.5313;0.16862;0.40916;0.00052314;0.4091603344356093;0.07325666673521934
4;-4.4774;0.12154;0.40764;0.00054487;0.40764036414873944;0.07658407612426946
5;-4.4262;0.12148;0.40676;0.00061051;0.40676045815991024;0.08599572249976531
6;-4.4783;0.16855;0.40948;0.00070428;0.4094806056583369;0.09854506155542848
7;-4.4266;0.16843;0.40952;0.00076851;0.40952072109677196;0.10752180070453131
8;-4.3755;0.12145;0.4059;0.00062217;0.4059004768357742;0.08782381675609038
9;-4.3252;0.12144;0.40467;0.00062616;0.4046704844393097;0.0886556865290559
10;-4.3758;0.16835;0.40941;0.00076557;0.40941071578236066;0.10713924622321153
11;-4.3253;0.16831;0.40914;0.00073971;0.40914066868362536;0.10358853909416026
12;-4.2751;0.12143;0.40359;0.00061868;0.40359047419995236;0.08783102926941103
13;-4.225;0.12143;0.40228;0.00062408;0.4022804840852293;0.08888615241343487
14;-4.2751;0.16829;0.40883;0.00071412;0.4088306236907583;0.1000807681748347
15;-4.2251;0.16828;0.40846;0.00070621;0.4084606105030987;0.09906187174154002
16;-4.175;0.12143;0.40122;0.00062372;0.40122048480435096;0.08906957482268063
17;-4.125;0.12143;0.39996;0.00063611;0.3999605058451798;0.09112508144800968
18;-4.175;0.16828;0.40814;0.00070893;0.40814061569726784;0.0995213802131219
19;-4.125;0.16828;0.4078;0.00072152;0.4078006382916908;0.10137324104254486
20;-4.075;0.12143;0.39898;0.00063922;0.39898051205818114;0.0917955206875589
21;-4.025;0.12143;0.39778;0.00065162;0.3977805337225848;0.09385852091618802
22;-4.075;0.16828;0.40751;0.00073284;0.4075106589458312;0.10303696545978534
23;-4.025;0.16828;0.40721;0.00074389;0.4072106794674375;0.1046676407991462
24;-3.975;0.12143;0.39686;0.00065105;0.3968605340243629;0.09399381088714014
25;-3.925;0.12143;0.39571;0.00065784;0.3957105468059521;0.09525010960721175
26;-3.975;0.16828;0.40695;0.00074858;0.4069506885017107;0.10539483044983049
